group_id,treatmentcoefficient,treatmentstandarderror,within_grou
19,0.22,0.27,10
19,0.2199999,0.3995438,11
19,0.02,0.0688776,12
19,0.11,0.0705225,13
19,0,0.0168231,14
20,-0.41,0.081128,1
20,0.2999992,0.0703329,2
20,-0.2,0.0834649,3
20,0.5,0.0387985,4
20,0.1000004,0.0479687,5
20,0.08,0.0353658,6
20,0.1999998,0.0131995,7
21,0.04,0.0714286,1
21,0.1000004,0.1516263,2
21,0.63,0.29,3
21,-0.05,0.0396705,4
21,1.3,0.0670379,5
21,-0.1,0.1030624,6
21,0.13,0.0533574,7
21,0.02,0.0387817,8
21,0.1540001,0.0149852,9
21,-0.28,0.0391044,10
21,0.36,0.1,11
21,0.219,0.0834016,12
21,0.06,0.0483407,13
21,-0.3363636,0.0659249,14
21,0.1700001,0.16078,15
21,-0.319,0.0680568,16
21,0.3999996,0.4285363,17
22,0.03,0.1096937,1
22,0.37,0.17,2
22,-0.1054546,0.0211241,3
22,0.21,0.01166,4
22,1.104439,0.0496677,5
22,0.02,0.0302854,6
22,0.0999999,0.03723,7
22,0.03,0.0070736,8
22,0.0200001,0.0287831,9
22,-0.0497523,0.0346906,10
22,0,0.04,11
22,-0.01,0.0247184,12
23,0.47,0.19,1
23,-0.1931818,0.0318312,2
23,-0.0166891,0.0401211,3
23,0.03,0.0282967,4
23,0.08,0.0422041,5
23,0.7157754,0.1382933,6
23,-0.16,0.0530136,7
23,-0.02,0.0283108,8
23,0,0.0445477,9
23,0.03,0.5374073,10
23,0.01,0.0310367,11
24,0.022,0.02,1
24,0.0288,0.02,2
24,0.038,0.055,3
24,0.008,0.04,4
25,0.1157,0.0663,1
25,-0.042,0.026,2
25,-0.0058,0.0234,3
25,0.043,0.047,4
26,11.141,15.022,1
26,-185.3572,377.7209,2
26,15.23333,0.876087,3
26,20.80939,8.048738,4
26,51.1796,24.7828,5
27,-112.593,458.2609,1
27,24.68,26.4,2
27,178.6107,49.20405,3
27,-3.451853,2.473851,4
28,-47.28144,23.52311,1
28,-119.1983,414.6201,2
28,0.0606575,1.81266,3
28,96.19669,40.65562,4
28,-1.847826,103.293,5
29,-1.174753,0.7628267,1
29,125.0856,64.71452,2
29,-0.744,6,3
30,-1.486008,120.3805,1
30,42.40528,124.7214,2
30,4.679053,9.748027,3
30,50.16908,10.96618,4
30,21.91998,2.8753,5
31,0.077,0.0134999,1
31,0.1,0.0560612,2
31,0.012,0.0249764,3
31,0.037,0.0130725,4
31,-0.014,0.0272884,5
31,0.012,0.0139317,6
31,0.072,0.0119494,7
32,0.3000002,0.143069,1
32,0.2,0.0195371,2
32,-0.0300007,0.0325957,3
32,0.35,0.0326729,4
32,0.27,0.0324452,5
33,0.0216541,0.1709991,1
33,0.0295588,0.0492101,2
33,-0.1392621,0.0470482,3
33,-0.2613648,0.3735347,4
33,-0.1508229,0.0708244,5
33,-0.1670561,0.0215103,6
33,-0.1743534,0.0786483,7
34,-0.1392621,0.1477558,1
34,-0.210721,0.112432,2
34,-0.0512933,0.067166,3
34,-1.036931,0.3266491,4
34,-0.9162908,0.7582875,5
34,-0.1008047,0.1245665,6
35,-0.1999969,0.0731509,1
35,0.029995,0.079223,2
35,0,0.1581472,3
35,0.1,0.0836568,4
35,-0.2,0.1110138,5
35,-0.3000031,0.331542,6
35,-0.39,0.2535629,7
35,0.18,0.0601294,8
35,-0.12,0.0352553,9
35,0.09,0.1202175,10
35,-0.5,0.205339,11
35,-0.1,0.1612003,12
35,0.14,0.0380318,13
35,7.63E-06,0.5500852,14
35,0.3,0.1822873,15
35,-0.1,0.1794917,16
35,0,0.0796586,17
35,0.0699997,0.2966192,18
35,0.2,0.1131833,19
35,0,0.1433848,20
35,0.7,0.114868,21
35,0.3000031,0.2622105,22
35,0.6,0.0621143,23
35,-0.1,0.1564192,24
35,0.04,0.0816933,25
35,0.6999969,0.345621,26
35,1.5,0.2880616,27
35,2.254118,0.2739525,28
35,0.4,0.2119996,29
36,0.26,0.0788419,1
36,0.01,0.0237875,2
36,0.01,0.0893333,3
36,0.3300002,0.0541375,4
36,0.01,0.0608459,5
36,0.1700001,0.1004659,6
36,-0.0378378,0.0864612,7
36,-0.01,0.0331538,8
36,0.07,0.0482257,9
36,0,0.1030776,10
36,0.04,0.028018,11
36,-0.08,0.0257438,12
36,0.07,0.047917,13
36,-0.14,0.031108,14
36,0.11,0.0467057,15
36,-0.01,0.0504769,16
36,0.1299999,0.0324401,17
36,0.0421312,0.0253591,18
36,0.01,0.0630641,19
36,0.11,0.0432875,20
36,0.08,0.0311164,21
36,0,0.059976,22
36,-0.0599998,0.0466459,23
36,-0.09,0.0430331,24
36,0.0500002,0.035091,25
36,0.0300001,0.0438838,26
36,0,0.0686803,27
36,0.04,0.0258804,28
36,-0.02,0.0092186,29
36,0.01,0.0265791,30
36,0,0.0632759,31
36,0.3800001,0.043482,32
36,0.15,0.0752905,33
37,0.43,0.0514302,1
37,0.79,0.094629,2
37,1.1,0.128422,3
37,0.3799992,0.0544425,4
37,-0.2,0.0852742,5
37,0.383,0.0324419,6
37,0.115,0.0135311,7
37,0.07,0.0112819,8
37,1.09,0.1133036,9
37,0.91,0.0948719,10
37,0,0.0810931,11
37,0.1,0.1364382,12
37,-0.12,0.15589,13
37,1.01,0.0493883,14
37,-0.06,0.0873217,15
37,-0.5,0.0800685,16
37,0.0999994,0.1005686,17
37,0.6000004,0.0343385,18
37,1.1,0.0301394,19
37,0,0.6090635,20
37,0.65,0.1008512,21
37,-0.03,0.0624929,22
37,-0.04,0.1303477,23
37,-0.1,0.0593273,24
37,-0.4,0.1051706,25
37,-0.46,0.0664789,26
37,1.33,0.1002065,27
37,0.3999987,0.0198716,28
37,0.35,0.047501,29
37,-0.16,0.0566843,30
37,0.41,0.0464196,31
37,0.5,0.0572537,32
37,0.3000002,0.0946044,33
37,0,0.0782445,34
37,-0.13,0.0490271,35
37,-0.03,0.0685319,36
37,0.49,0.0185542,37
38,0.0100021,0.0577625,1
38,-0.21,0.0710385,2
38,0.15,0.0415948,3
38,-0.0999994,0.0389718,4
38,0.1100006,0.037234,5
38,0.1,0.0408777,6
38,0.1,0.0849794,7
38,0.138,0.0172372,8
38,-0.05,0.061146,9
38,0.09,0.0283724,10
38,0.09,0.0917587,11
38,0.05,0.0294215,12
38,0.0999994,0.1215782,13
38,0.078,0.0642289,14
38,0,0.1136433,15
38,0.1525882,0.0641958,16
38,0.2,0.0958657,17
39,0.4300503,0.3823882,1
39,-0.1984509,0.2514839,2
39,0.1739533,0.2208369,3
39,0.3715636,0.744506,4
39,0.0055198,0.9981583,5
39,0.1555597,0.2829921,6
39,-0.6539265,0.4127796,7
39,0.7028717,0.4967479,8
39,-0.1053605,0.0848739,9
39,-1.112477,0.5130305,10
39,-0.1274891,0.4557482,11
40,0.7245383,0.3328445,1
40,-0.1883951,0.204381,2
40,-0.1884896,0.3343704,3
40,0.3293037,0.483519,4
40,0.1310283,0.1640655,5
40,0.1914425,0.2751012,6
41,-0.7419833,0.1386467,1
41,-0.578979,0.1326738,2
41,0.0291485,0.1395185,3
41,0.1177582,0.1295372,4
41,-0.2552163,0.2422095,5
41,-1.310308,0.2654895,6
41,-0.2378732,0.4007419,7
41,-0.3147107,0.1090544,8
41,-0.7874883,0.2345524,9
41,-0.748207,0.2307062,10
41,-1.029619,0.318572,11
41,-0.4608227,0.1130817,12
41,-0.8139305,0.1690749,13
42,0.804581,0.4211662,1
42,-0.2397829,0.3829778,2
42,0.2700271,0.5959459,3
42,-0.1875893,0.3445437,4
43,0.0642944,0.1707176,1
43,-0.0303866,0.1650489,2
43,-0.2499458,0.173167,3
44,0.3730206,0.0175236,1
44,-0.0673872,0.0619382,2
44,0.0966946,0.0200599,3
44,0.0428773,0.0173595,4
44,0.1761502,0.0199357,5
44,-0.0979583,0.0829354,6
44,-0.0717633,0.0347494,7
44,0.1700639,0.0398943,8
44,0.080455,0.0088049,9
45,0.0999999,0.1525819,1
45,0.3999996,0.1139092,2
45,0.2999992,0.0988072,3
45,0.6,0.0992581,4
45,0.4999995,0.0591608,5
45,0.193,0.1021662,6
45,0.1000004,0.0679434,7
45,-0.1,0.0502076,8
45,-0.034,0.0262561,9
45,-0.3,0.3010528,10
45,0.2,0.0907503,11
45,-0.08,0.0620734,12
45,0.1,0.0516398,13
45,0.18,0.0440825,14
45,-0.1,0.0545806,15
45,0.0999999,0.0295471,16
45,0.039999,0.1036799,17
45,0.07,0.0481747,18
45,0.09,0.0562763,19
45,-0.0600004,0.0642161,20
45,0.55,0.043586,21
45,0.47,0.0518298,22
45,0,0.0275189,23
45,0.2,0.069225,24
45,0.1664607,0.0347081,25
45,0.1,0.0272268,26
45,0.47,0.0409727,27
45,0.06,0.0556909,28
45,0.01,0.0607218,29
45,-0.01,0.0101797,30
45,0.01,0.0814207,31
46,0.0600001,0.0360247,1
46,0.02,0.0105959,2
46,0.0999999,0.0351139,3
46,0.2,0.0818345,4
46,0.09,0.0154514,5
46,0.06,0.0457834,6
46,0.11,0.0641238,7
46,-0.02,0.0516398,8
46,0.2000002,0.0520451,9
46,0.2,0.0864219,10
46,0,0.0539784,11
46,0.1,0.0438879,12
46,-0.03,0.0542891,13
46,-0.11,0.0410734,14
46,0,0.0199855,15
46,-0.01,0.024042,16
46,0,0.093054,17
46,0.04,0.0353944,18
46,-0.0999999,0.0750214,19
46,0.1,0.0516185,20
46,-0.0499998,0.0436108,21
46,0.14,0.0309885,22
46,-0.07,0.0444288,23
46,0.09,0.0588262,24
46,0.078,0.0233373,25
46,0.01,0.0326696,26
46,0.1,0.0475657,27
46,0.3600001,0.0305004,28
46,0,0.0654345,29
46,1.19E-07,0.034305,30
46,-0.0027869,0.0282629,31
47,0.14,0.0487449,1
47,0.12,0.0480477,2
47,-0.0339016,0.0297359,3
47,0.2899999,0.0862706,4
47,0.08,0.068853,5
47,-0.03,0.0289144,6
47,0.05,0.0138922,7
47,0.01,0.0314177,8
47,-0.11,0.0697243,9
47,-0.0099999,0.0363716,10
47,0.09,0.0536266,11
47,-0.03,0.032186,12
47,-0.02,0.1004594,13
47,0.1000001,0.0355755,14
47,0.01,0.0292452,15
47,0.06,0.0781917,16
47,0.19,0.0625547,17
47,0.17,0.0388034,18
47,0,0.0623874,19
47,0,0.043092,20
47,0.01,0.0413529,21
47,-0.1,0.0610328,22
47,-0.016,0.0420668,23
47,0.1999999,0.0866927,24
47,0.08,0.0590484,25
47,-0.07,0.0880785,26
48,0.2147831,0.072723,1
48,0.2096988,0.0527074,2
48,0.1137964,0.0383505,3
49,0.205,0.121138,1
49,0.1396,0.0141893,2
49,0.047,0.0318733,3
50,0.0667885,0.0122828,1
50,0.077,0.0340174,2
50,0.0885447,0.2145947,3
51,2.055864,0.2785746,1
51,1.465677,0.1731994,2
51,-0.21,1.166667,3
52,0.126,0.065,1
52,0.0086105,0.0060617,2
52,0.2075,0.0202294,3
53,0.255,1.26,1
53,0.017,0.019,2
53,0.0608,0.15701,3
54,0.2916667,0.7416629,1
54,0.02,0.0496997,2
54,0.0406467,0.0146907,3
55,-0.5340825,0.1794471,1
55,-1.560648,0.2802583,2
55,-0.8915981,0.2694012,3
55,-0.356675,0.250952,4
55,-0.2731444,0.0464711,5
56,-0.2876821,0.1172276,1
56,0.1112499,0.0686833,2
56,-0.602849,0.2674319,3
56,-0.1625189,0.1726066,4
56,-1.490814,0.2284579,5
56,-0.6733446,0.1095823,6
56,-0.4462871,0.1000107,7
56,-0.1053605,0.1226971,8
56,-0.2377484,0.0500704,9
57,-0.4462871,0.2402063,1
57,-1.609438,0.3989733,2
57,-0.6931472,0.3155007,3
