meta_id,question_id,estimate_id,estimate,std.error,z_stat,dv,iv,n,overall_effect,question,sample,sample_size,study_id,study_journal,study_year,subfield,subset
AskDouPal2021,AskDouPal2021; democracy; ,40,0.21895,0.04953553,4.420059702601345,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,41,0.05019,0.05227644,0.9600883304218879,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,42,0.27908,0.04887629,5.709926019343939,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,43,0.2031,0.04990248,4.069938007089027,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,44,0.27134,0.04836666,5.610062799457313,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,45,0.31873,0.05059223,6.299979265590784,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,46,0.12066,0.05112635,2.3600354807256925,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,47,0.02561,0.05121475,0.5000512547654729,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,48,0.11461,0.05116327,2.2400835599444684,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,49,0.12141,0.0505877,2.399990511527506,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,50,0.07174,0.02375491,3.0200072321890503,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,51,0.02523,0.05148623,0.49003393722943006,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,52,0.0169,0.05122423,0.329921992,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Dollar,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,53,0.05336,0.06277988,0.8499538387139319,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Weder,NA,2002,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,54,0.09085,0.0890728,1.0199522188591805,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Weder,NA,2002,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,55,-0.09251,0.13808033,-0.669972327,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Weder,NA,2002,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,56,0.30804,0.11537095,2.6699962165519135,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Weder,NA,2002,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,57,0.03008,0.12033137000000001,0.2499763777309275,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Weder,NA,2002,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,58,-0.1581,0.11887178,-1.33000448,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Weder,NA,2002,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,59,-0.11785,0.11785113,-0.999990412,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Weder,NA,2002,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,60,0.26828,0.1151413,2.330006696120332,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Weder,NA,2002,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,61,-0.06008,0.12016835,-0.499965257,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Weder,NA,2002,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,62,-0.0804,0.11999615,-0.670021497,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Weder,NA,2002,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,63,0.11785,0.11785113,0.999990412,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Weder,NA,2002,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,64,0.1581,0.11887178,1.3300044804578512,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Weder,NA,2002,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,65,-0.02017,0.11865402,-0.169990026,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Weder,NA,2002,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,66,0.27008,0.11591221,2.3300392598847006,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Weder,NA,2002,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,67,0.11952,0.11952286,0.9999760715230543,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Weder,NA,2002,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,68,0.14674,0.11739345,1.2499845604673856,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Alesina & Weder,NA,2002,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,69,-0.14482,0.04242265,-3.413742423,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,"Andersen, Hansen & Markussen",NA,2006,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,70,-0.16302,0.0489051,-3.333394677,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,"Andersen, Hansen & Markussen",NA,2006,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,71,-0.14743,0.05121224,-2.878803973,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,"Andersen, Hansen & Markussen",NA,2006,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,72,-0.12334,0.05898993,-2.090865339,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,"Andersen, Hansen & Markussen",NA,2006,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,73,0.09742,0.0493324,1.9747670901881929,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,"Andersen, Hansen & Markussen",NA,2006,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,74,0.09416,0.05154799,1.8266473629718636,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,"Andersen, Hansen & Markussen",NA,2006,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,75,0.17055,0.05857291,2.911755622180971,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,"Andersen, Hansen & Markussen",NA,2006,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,76,-0.07043,0.02655563,-2.652168297,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Apodaca & Stohl,NA,1999,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,77,0.0818,0.03007745,2.719645448666692,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Belle & Hook,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,78,0.08022,0.03008132,2.6667712720053505,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Belle & Hook,NA,2000,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,79,0.05951,0.00486391,12.235012572189865,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy & Tichit,NA,2004,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,80,0.05726,0.00486461,11.770727766460208,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy & Tichit,NA,2004,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,81,0.04365,0.00501414,8.705381182017256,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy & Tichit,NA,2004,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,82,0.04025,0.00501492,8.026050266006237,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy & Tichit,NA,2004,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,83,0.07839,0.00833669,9.403012466578462,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy & Tichit,NA,2004,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,84,0.07725,0.00833772,9.265122839337373,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy & Tichit,NA,2004,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,85,0.02311,0.00487124,4.744171915159179,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy & Tichit,NA,2004,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,86,0.02364,0.00487124,4.852973780803246,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy & Tichit,NA,2004,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,87,0.017,0.00501819,3.3876756360361013,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy & Tichit,NA,2004,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,88,0.01726,0.00501824,3.4394528759086853,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy & Tichit,NA,2004,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,89,0.0337,0.00835767,4.032224292177126,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy & Tichit,NA,2004,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,90,0.03382,0.00835793,4.046456479056418,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy & Tichit,NA,2004,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,91,0.08432,0.00833235,10.11959411210523,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy & Tichit,NA,2004,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,92,0.03756,0.00835681,4.494537987581387,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy & Tichit,NA,2004,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,93,0.04771,0.00835261,5.711987031598507,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy & Tichit,NA,2004,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,94,0.00994,0.0083623,1.1886681893737367,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy & Tichit,NA,2004,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,95,0.01332,0.00602717,2.209992417668657,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy,NA,2006,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,96,0.01028,0.00543763,1.8905295137771418,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy,NA,2006,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,97,0.01437,0.00707671,2.0306046171172762,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy,NA,2006,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,98,0.03393,0.00709758,4.780502650199082,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy,NA,2006,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,99,0.03421,0.00709751,4.820000253610069,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Berthélemy,NA,2006,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,100,0.50799,0.11213969,4.529975069486995,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Blanton,NA,1994,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,101,0.22213,0.12914422,1.7200150343546152,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Blanton,NA,1994,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,102,0.35962,0.10304346,3.489983741,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Blanton,NA,1994,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,103,0.02716,0.11318592,0.23995917513415096,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Blanton,NA,1994,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,104,0.15945,0.0531494,3.000033867,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Breuning & Ishiyama,NA,1999,Political Economy,NA
AskDouPal2021,AskDouPal2021; democracy; ,105,0.1852,0.04606972,4.0199940438101205,,democracy,1323,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Breuning & Ishiyama,NA,1999,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,106,-0.08255,0.12175249,-0.678014881,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Carleton & Stohl,NA,1985,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,107,-0.08255,0.12175249,-0.678014881,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Carleton & Stohl,NA,1985,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,108,-0.08255,0.12175249,-0.678014881,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Carleton & Stohl,NA,1985,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,109,-0.08255,0.12175249,-0.678014881,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Carleton & Stohl,NA,1985,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,110,-0.08255,0.12175249,-0.678014881,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Carleton & Stohl,NA,1985,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,111,0.08255,0.12175249,0.678014881,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Carleton & Stohl,NA,1985,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,112,0.08255,0.12175249,0.678014881,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Carleton & Stohl,NA,1985,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,113,0.08255,0.12175249,0.678014881,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Carleton & Stohl,NA,1985,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,114,0.08255,0.12175249,0.678014881,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Carleton & Stohl,NA,1985,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,115,0.08255,0.12175249,0.678014881,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Carleton & Stohl,NA,1985,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,116,0.08255,0.12175249,0.678014881,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Carleton & Stohl,NA,1985,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,117,0.08255,0.12175249,0.678014881,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Carleton & Stohl,NA,1985,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,118,-0.08255,0.12175249,-0.678014881,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Carleton & Stohl,NA,1985,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,119,0.08255,0.12175249,0.678014881,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Carleton & Stohl,NA,1985,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,120,0.23691,0.11869153,1.9960143744039698,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Carleton & Stohl,NA,1985,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,121,-0.08255,0.12175249,-0.678014881,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Carleton & Stohl,NA,1985,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,122,0.08255,0.12175249,0.678014881,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Carleton & Stohl,NA,1985,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,123,0.23691,0.11869153,1.9960143744039698,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Carleton & Stohl,NA,1985,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,124,0.27735,0.2773501,0.9999996394448749,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Carleton & Stohl,NA,1987,Political Economy,NA
AskDouPal2021,AskDouPal2021; human_rights; ,125,0.27735,0.2773501,0.9999996394448749,,human_rights,322,yes,Does democracy and human rights record affect US aid allocation?,Briggs,NA,Carleton & Stohl,NA,1987,Political Economy,NA
